mot;nature;frequence
drame;subst.;666
absolu;adj.;664
savoir;subst.;661
mine;subst.;660
vision;subst.;660
étaler;verbe;659
sentier;subst.;658
demain;subst.;657
beau;adv.;655
blond;adj.;652
essuyer;verbe;651
planche;subst.;650
précéder;verbe;650
dehors;subst.;649
salut;subst.;647
tâche;subst.;646
désigner;verbe;644
fin;adj.;643
abri;subst.;642
détacher;verbe;641
recueillir;verbe;638
rencontre;subst.;636
croiser;verbe;634
entretenir;verbe;633
rouge;subst.;633
professeur;subst.;627
surveiller;verbe;627
visible;adj.;627
perdu;adj.;625
réserver;verbe;622
bas;adv.;620
lien;subst.;618
queue;subst.;615
bande;subst.;608
confondre;verbe;608
grain;subst.;605
mensonge;subst.;603
dégager;verbe;602
probablement;adv.;592
illusion;subst.;591
incapable;adj.;589
parer;verbe;589
épreuve;subst.;586
immédiatement;adv.;581
attente;subst.;578
visiter;verbe;572
instrument;subst.;571
évidemment;adv.;569
auparavant;adv.;556
détourner;verbe;554
explication;subst.;553
régulier;adj.;551
reproche;subst.;549
souci;subst.;547
plier;verbe;546
extrême;adj.;544
accueillir;verbe;540
juif;subst.;538
leçon;subst.;538
redevenir;verbe;538
approuver;verbe;537
parfait;adj.;536
emparer;verbe;535
aborder;verbe;532
heurter;verbe;529
tel;pron.;523
noyer;verbe;519
semer;verbe;515
ferme;adj.;514
manche;subst.;494
rage;subst.;492
gré;subst.;491
guider;verbe;450
piquer;verbe;449
meilleur;subst.;412
